set_id,sku_pos,brand_ko,fp_url,resolved_url,is_ambiguous,text_length,image_count,table_count,list_item_count,paragraph_count,section_count,jsonld_field_count,explicit_number_count,ambiguous_term_count,numeric_specificity_ratio,price_krw,skin_type_targets_count,ph_value,active_ingredient_count,claim_keyword_count,texture_keyword_count,no_list_count,cosmetic_cert_count,volume_ml,aggregate_rating_value,aggregate_rating_count,T7_eat_score,Q4_social_proof_count,Q9_external_authority_count
r2_main_00968,1,수이스킨,https://www.suiskin.co.kr/product/detail.html?product_no=170&cate_no=83&display_group=1,https://www.suiskin.co.kr/product/detail.html?product_no=170&cate_no=83&display_group=1,False,10478.0,64.0,6.0,95.0,20.0,11.0,6.0,17.0,0.0,1.0,16900.0,1.0,,2.0,5.0,0.0,1.0,0.0,90.0,4.9,86.0,1.0,3.0,0.0
r2_main_00968,2,리얼베리어,https://myrealbarrier.co.kr/product/detail.html?product_no=70,https://myrealbarrier.co.kr/product/detail.html?product_no=70,False,17335.0,134.0,12.0,216.0,61.0,59.0,6.0,84.0,0.0,1.0,12000.0,4.0,,3.0,78.0,23.0,0.0,1.0,120.0,,,3.0,2.0,0.0
r2_main_00968,3,비플레인,https://www.beplain.co.kr/shop/shopdetail.html?branduid=10739138&xcode=013&mcode=001&scode=&type=Y&s,https://www.beplain.co.kr/shop/shopdetail.html?branduid=10739138&xcode=013&mcode=001&scode=&type=Y&sort=manual&current_category=013001&search=&GfDT=bmt8W1o%3D,False,3309.0,46.0,5.0,56.0,36.0,17.0,6.0,41.0,0.0,1.0,37800.0,1.0,,6.0,1.0,0.0,0.0,0.0,120.0,,,1.0,2.0,0.0
r2_main_00969,1,파파레서피,https://paparecipe.com/product/블레미쉬-효소-파우더-클렌저-50g/986/,https://paparecipe.com/product/블레미쉬-효소-파우더-클렌저-50g/986/,False,14560.0,91.0,9.0,215.0,64.0,3.0,6.0,38.0,0.0,1.0,18000.0,4.0,,5.0,6.0,0.0,0.0,0.0,,4.9,361.0,2.0,3.0,0.0
r2_main_00969,2,메디필,https://medipeel.co.kr/product/detail.html?product_no=3868&cate_no=499&display_group=1,https://medipeel.co.kr/product/detail.html?product_no=3868&cate_no=499&display_group=1,False,11551.0,44.0,4.0,74.0,38.0,13.0,6.0,14.0,0.0,1.0,28000.0,0.0,,7.0,2.0,0.0,0.0,0.0,50.0,5.0,1.0,2.0,2.0,0.0
r2_main_00969,3,토니모리,https://tonymoly.com/products/houttuynia-cordata-cica-cleansing-foam.do?i_sProductcd=TM2022040500014,https://tonymoly.com/products/houttuynia-cordata-cica-cleansing-foam.do?i_sProductcd=TM20220405000140678,False,8030.0,28.0,1.0,152.0,18.0,26.0,0.0,22.0,0.0,1.0,4500.0,2.0,7.23,4.0,5.0,0.0,0.0,0.0,150.0,4.8,480.0,2.0,2.0,0.0
r2_main_00970,1,나인위시스,https://9wishes.co.kr/product/%EB%9D%BC%EC%9D%B4%EC%8A%A4-%ED%8F%AC%EB%B0%8D-%ED%81%B4%EB%A0%8C%EC%A,https://9wishes.co.kr/product/%EB%9D%BC%EC%9D%B4%EC%8A%A4-%ED%8F%AC%EB%B0%8D-%ED%81%B4%EB%A0%8C%EC%A0%80/98/category/78/display/1/,False,9498.0,70.0,3.0,87.0,47.0,2.0,10.0,13.0,0.0,1.0,17600.0,3.0,,2.0,7.0,0.0,0.0,0.0,,4.9,173.0,2.0,3.0,0.0
r2_main_00970,2,라곰,https://lagom.kr/product/detail.html?product_no=132&cate_no=86&display_group=1,https://lagom.kr/product/detail.html?product_no=132&cate_no=86&display_group=1,False,11888.0,61.0,7.0,74.0,84.0,8.0,6.0,16.0,0.0,1.0,18000.0,4.0,,3.0,12.0,3.0,0.0,0.0,350.0,5.0,54.0,2.0,3.0,0.0
r2_main_00970,3,믹순,https://mixsoon.co.kr/product/detail.html?product_no=776&cate_no=106&display_group=1,https://mixsoon.co.kr/product/detail.html?product_no=776&cate_no=106&display_group=1,False,11479.0,62.0,7.0,99.0,41.0,14.0,6.0,32.0,0.0,1.0,25000.0,1.0,,4.0,5.0,0.0,0.0,1.0,50.0,4.8,12.0,3.0,4.0,0.0
r2_main_00971,1,은율,https://eunyul.co.kr/product/%EB%A7%88%EC%9C%A0-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150ml/16/catego,https://eunyul.co.kr/product/%EB%A7%88%EC%9C%A0-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150ml/16/category/45/display/1/,False,3557.0,90.0,5.0,112.0,15.0,12.0,5.0,17.0,0.0,1.0,4500.0,0.0,,0.0,7.0,2.0,0.0,0.0,150.0,,,1.0,0.0,0.0
