item_a,item_b,cooccur_count
https://beyond.co.kr/product/detail.html?product_no=1396,https://lagom.kr/product/detail.html?product_no=326&cate_no=86&display_group=1,3
https://theuiq.com/product/%EB%B0%94%EC%9D%B4%EC%98%B4-%EB%B2%A0%EB%A6%AC%EC%96%B4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-120ml/30/category/45/display/1/,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223233,3
https://hemille.com/product/detail.html?product_no=35&cate_no=55&display_group=1,https://wellage.co.kr/product/%EB%A6%AC%EC%96%BC-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%9C%EB%8B%89-%EC%95%84%EB%AF%B8%EB%85%B8-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/1256/,3
https://ilso.kr/product/new-%EC%96%B4%EC%84%B1%EC%B4%88%EB%AF%BC%EA%B0%90-pdrn-%EC%95%A1%ED%8B%B0%EB%B8%8C-%EB%B2%84%EB%B8%94-%ED%81%B4%EB%A0%8C%EC%A0%80/211/category/118/display/1/,https://m.thelavicosmall.com/product/%EC%A0%80%EC%9E%90%EA%B7%B9%EC%B4%89%EC%B4%89%ED%81%B4%EB%A0%8C,3
https://myrealbarrier.co.kr/product/detail.html?product_no=85,https://skin1004korea.com/product/%EB%A7%88%EB%8B%A4%EA%B0%80%EC%8A%A4%EC%B9%B4%EB%A5%B4-%EC%84%BC%E,3
https://clubclio.co.kr/shop/goodsView/0000005420#page1&id=0000005420,https://telse.co.kr/product/%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%8B%B0%ED%8A%B8%EB%A6%AC-%EC%95%84%ED%81%AC-%ED%94%8C%EB%9F%AC%EC%8A%A4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/121/category/70/display/1/,3
https://banila.com/product/detail.html?product_no=680,https://eunyul.co.kr/product/%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%BC%80%EC%96%B4-%EC%95%84%ED%81%AC%EB%84%A4-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80-500ml/130/category/45/display/1/,3
https://roundlab.co.kr/product/detail.html?product_no=140,https://www.theskinfood.com/shop/shopdetail.html?branduid=10323543&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=bm91W1w%3D,3
https://eunyul.co.kr/product/%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%BC%80%EC%96%B4-%EC%95%84%ED%81%AC%EB%84%A4-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80-500ml/130/category/45/display/1/,https://www.etude.com/shop/category/cleanser/cleanser-all/%ec%88%9c%ec%a0%95-%ec%95%bd%ec%82%b0%ec%84%b1-5-5-%ed%8f%bc-%ed%81%b4%eb%a0%8c%ec%a0%80-150ml-2/,3
https://physiogel.co.kr/product/detail.html?product_no=374&cate_no=28&display_group=1,https://sungboon.com/product/%EC%84%BC%ED%85%94%EB%9D%BD%ED%86%A0-%EC%95%84%ED%81%AC%EB%A6%AC%EC%8A%A4-%ED%81%B4%EB%A6%AC%EC%96%B4%EB%A7%81-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A0%80/584/category/494/display/1/,3
https://illumiel.co.kr/product/%EC%9D%BC%EB%A3%A8%EB%AF%B8%EC%97%98-%EB%A7%88%EC%9D%BC%EB%93%9C-%ED%81%B4%EB%A6%AC%EC%96%B4-%EC%88%9C%EC%8B%B9-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/28/category/51/display/1/,https://thewhoo.com/product/detail.html?product_no=88,3
https://mixsoon.co.kr/product/detail.html?product_no=338&cate_no=106&display_group=1,https://paparecipe.com/product/블레미쉬-효소-파우더-클렌저-50g/986/,3
https://skin1004korea.com/product/%EB%A7%88%EB%8B%A4%EA%B0%80%EC%8A%A4%EC%B9%B4%EB%A5%B4-%EC%84%BC%E,https://thewhoo.com/product/detail.html?product_no=650,3
https://m.shionle.com/product/detail.html?product_no=788#enp_mbris,https://www.naturerepublic.com/goods/goods/view?no=9990,3
https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1176799&xcode=070&mcode=001&scode=002,https://www.naturerepublic.com/goods/goods/view?no=9990,3
https://ilso.kr/product/%ED%94%BC%EC%A7%80-%ED%9D%A1%EC%B0%A9-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8C%A9%ED%8F%BC-%EA%B8%B0%ED%9A%8D-%EC%A6%9D%EC%A0%95-%EC%84%B8%EC%95%88-%ED%97%A4%EC%96%B4%EB%B0%B4%EB%93%9C/200/category/118/display/1/,https://www.etude.com/shop/category/cleanser/cleanser-all/%eb%b2%a0%ec%9d%b4%ed%82%b9-%ed%8c%8c%ec%9a%b0%eb%8d%94-%eb%aa%a8%ea%b3%b5-%ed%81%b4%eb%a0%8c%ec%a7%95-%ed%8f%bc-160g/,3
https://skin1004korea.com/product/%EB%A7%88%EB%8B%A4%EA%B0%80%EC%8A%A4%EC%B9%B4%EB%A5%B4-%EC%84%BC%E,https://www.itsskin.com/goods/goods_view.php?goodsNo=1000001246,3
https://eunyul.co.kr/product/%EB%A7%88%EC%9C%A0-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150ml/16/category/45/display/1/,https://m.bentoncosmetic.com/product/%EB%B2%A4%ED%8A%BC-%EA%B9%8A%EC%9D%80-%EB%85%B9%EC%B0%A8-%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-120g/412/category/188/display/1/#enp_mbris,3
https://itempage3.auction.co.kr/DetailView.aspx?itemno=B873273622,https://m.thelavicosmall.com/product/%EC%A0%80%EC%9E%90%EA%B7%B9%EC%B4%89%EC%B4%89%ED%81%B4%EB%A0%8C,3
https://www.iaso.co.kr/shop/shopdetail.html?branduid=2542486&xcode=005&mcode=001&scode=&type=Y&sort=manual&current_category=005001&search=&GfDT=bm95W1U%3D,https://www.itsskin.com/goods/goods_view.php?goodsNo=1000001246,3
https://clubclio.co.kr/shop/goodsView/0000006568#page1&id=0000006568,https://www.dr-g.co.kr/item/4359?pc=4&cc=14,3
https://whataskin.co.kr/product/%ED%93%A8%EC%96%B4%EB%AF%B8-%ED%9C%A9-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150g/22/category/29/display/1/,https://www.torriden.com/goods/goods_view.php?goodsNo=158,3
https://m.e-giverny.com/goods/goods_view.php?goodsNo=674,https://www.theskinfood.com/shop/shopdetail.html?branduid=1796&search=%ED%8F%BC&sort=order&xcode=005&mcode=033&scode=&GfDT=bm18W1o%3D,3
