set_id,item_triplet,brand_triplet,n_items,n_unique_items,n_unique_brands
r2_main_00167,https://dewytree.com/product/detail.html?product_no=1087&cate_no=54&display_group=1 | https://dewytree.com/product/detail.html?product_no=686&cate_no=54&display_group=1 | https://www.ableshop.kr/product/goods/view-goods?goodsId=BO00112997,듀이트리 | 듀이트리 | 미샤,3,3,2
r2_main_00179,https://abib.com/product/detail.html?product_no=327&cate_no=24&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=2688&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=4116&cate_no=499&display_group=1,메디필 | 메디필 | 아비브,3,3,2
r2_main_00188,https://medihealshop.com/product/밀도-보습-히알루론산-클렌저-120ml/1520/ | https://medipeel.co.kr/product/detail.html?product_no=2855&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3409&cate_no=499&display_group=1,메디필 | 메디필 | 메디힐,3,3,2
r2_main_00192,https://aromatica.co/product/detail.html?product_no=2212 | https://aromatica.co/product/detail.html?product_no=2421&cate_no=827&display_group=1 | https://www.thefaceshop.com/mall/product/product-view.jsp?dpid=AF013656,닥터벨머 | 아로마티카 | 아로마티카,3,3,2
r2_main_00219,https://brmudkorea.com/product/detail.html?product_no=178&cate_no=90&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=2904&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3868&cate_no=499&display_group=1,메디필 | 메디필 | 비알엠유디,3,3,2
r2_main_00220,https://medipeel.co.kr/product/detail.html?product_no=3222&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3868&cate_no=499&display_group=1 | https://purek.co.kr/product/detail.html?product_no=9&cate_no=25&display_group=1,메디필 | 메디필 | 퓨어케이,3,3,2
r2_main_00224,https://medipeel.co.kr/product/detail.html?product_no=3301&cate_no=728&display_group=1 | https://www.etude.com/shop/category/cleanser/cleanser-all/%eb%bd%80%ec%98%a4%ec%96%80-%eb%af%b8%ec%86%8c-%eb%b0%9c%ed%9a%a8-%ed%81%b4%eb%a0%8c%ec%a7%95-%ed%8f%bc-150ml/ | https://www.etude.com/shop/category/cleanser/cleanser-all/%ec%88%9c%ec%a0%95-%ec%95%bd%ec%82%b0%ec%84%b1-5-5-%ed%8f%bc-%ed%81%b4%eb%a0%8c%ec%a0%80-150ml-2/,메디필 | 에뛰드 | 에뛰드,3,3,2
r2_main_00263,https://imfrom.co.kr/product/detail.html?product_no=215&cate_no=175&display_group=1 | https://imfrom.co.kr/product/detail.html?product_no=247&cate_no=175&display_group=1 | https://www.torriden.com/goods/goods_view.php?goodsNo=263,아임프롬 | 아임프롬 | 토리든,3,3,2
r2_main_00282,https://aromatica.co/product/detail.html?product_no=2212 | https://myrealbarrier.co.kr/product/detail.html?product_no=71 | https://myrealbarrier.co.kr/product/detail.html?product_no=86&cate_no=48&display_group=1,리얼베리어 | 리얼베리어 | 아로마티카,3,3,2
r2_main_00285,https://blancnature.co.kr/product/best-%EC%97%AC%EB%93%9C%EB%A6%84-%EA%B8%B0%EB%8A%A5%EC%84%B1-%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-150ml/13/category/45/display/1/ | https://medipeel.co.kr/product/detail.html?product_no=2681&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=2755&cate_no=499&display_group=1,메디필 | 메디필 | 블랑네이처,3,3,2
